i,rel_err,angle_err_deg
239,0.0925808107145434,3.1602133227429543
240,0.09268257489235808,3.163855500508732
241,0.0927437270341935,3.1803205732304654
242,0.09288987192205168,3.198593140455457
243,0.0929193761238451,3.209536875239206
244,0.09321477063799713,3.21580708857288
245,0.09363073517569646,3.2164726767024385
246,0.0939371726746036,3.2223745951537874
247,0.09449226616175915,3.2410985185954138
248,0.09466364435420076,3.261040725287119
249,0.095339864647332,3.2616761102590606
250,0.0958759850762424,3.2638786102174087
251,0.09589562911014035,3.2806319552861005
252,0.09607633747389246,3.3143018731630307
253,0.0965049620413015,3.3153434063478833
254,0.09721806235293305,3.3475466083434315
255,0.09738977882791086,3.3552601506353845
256,0.09740497960191433,3.3583107699887536
257,0.0977244637053483,3.3899938715168147
258,0.09801948187942874,3.395406554827322
259,0.09830861507544764,3.419492751310083
260,0.09838782888210369,3.431729127266077
261,0.09896933672298397,3.4331797328816123
262,0.09911847919798898,3.458770517600334
263,0.09915276500388352,3.4674224423050575
264,0.09917020302395305,3.469361395307647
265,0.09954687521127163,3.472783393523398
266,0.09957177155181725,3.47830938982806
267,0.09958793249234553,3.503641812797738
268,0.09991575297634551,3.504197838491536
269,0.10085378373544172,3.5200386006018354
270,0.10113593840806336,3.5236363080603503
271,0.10129821789112149,3.5243900406898634
272,0.10146221835239384,3.532356356721852
273,0.10206539900366389,3.5737143581440014
274,0.1022891255136078,3.5739100010600695
275,0.10244725615890735,3.6128207317611833
276,0.10250530862971996,3.6161578388110747
277,0.10286768135014625,3.623882277823367
278,0.10292413173001272,3.6381446440905223
279,0.10314469200345491,3.674675649906984
280,0.10315740455238691,3.6767729462354426
281,0.10347264477566737,3.676986328155959
282,0.10448016885401472,3.72662853409352
283,0.10488745588063725,3.733673574440015
284,0.10496819426055196,3.74142023566697
285,0.10569360453648335,3.7505576482685363
286,0.10678639863806323,3.7539389411146717
287,0.10731894928200313,3.764126515798533
288,0.10744730145879197,3.7704873661303027
289,0.10784125516003483,3.7840171303329124
290,0.10836335558969509,3.8183746545699164
291,0.10865538915429729,3.834346148209422
292,0.10905420404679908,3.8470232139277147
293,0.1090736205776345,3.86144923829494
294,0.10911599025172865,3.868530588092863
295,0.10913709520268763,3.870094089210567
296,0.10937743269727826,3.8866102625479786
297,0.10955177256821884,3.8904596023237388
298,0.1096486586073619,3.898885112555031
299,0.10967743693006499,3.966286255835219
300,0.10978790749410981,3.967843097916522
301,0.11000552418135541,3.9735711918584897
302,0.1100438376325007,3.99108601972137
303,0.11049427614463977,3.9914531218143545
304,0.11063939953717862,4.011244216801785
305,0.110941430893444,4.020189845841812
306,0.1109645627096741,4.047497428180888
307,0.11100718304574539,4.0531529903932
308,0.11111230261560869,4.070734133031584
309,0.111300641055719,4.074240415645134
310,0.11138583776340376,4.080861862771632
311,0.11154188470933726,4.085194543508065
312,0.11159110392567445,4.089121460432844
313,0.11172601425833706,4.12809640460525
314,0.11204847261447536,4.161913903147306
315,0.11234004886707133,4.168620290259351
316,0.11290193128444127,4.18779926136916
317,0.1132283710580756,4.191483459942394
318,0.11330385725671523,4.193936020298165
319,0.11350426714732931,4.198321328833513
320,0.11387414177252568,4.200280022523456
321,0.11423510860081489,4.210731576984598
322,0.11450481904156684,4.219768346082312
323,0.11466052331062279,4.243139171822688
324,0.11490511592463973,4.27536022970835
325,0.11539177233580405,4.276344925398318
326,0.11546798026097611,4.276769128723238
327,0.1155386561968293,4.28037954013305
328,0.11571398200035593,4.332251571471319
329,0.11586663228607287,4.362352792759585
330,0.11589050940154191,4.368037107823797
331,0.11642649314642063,4.384652401108206
332,0.11650407993369723,4.407233785026799
333,0.11702141259184035,4.417194926777578
334,0.1170403148518263,4.425533899788273
335,0.11718055085201502,4.445644990982184
336,0.11720524700768985,4.463792676387406
337,0.11730614224705682,4.466009420500377
338,0.11859783944727323,4.466630892652862
339,0.11954967201260816,4.482624412102808
340,0.11989125525106639,4.483403506653333
341,0.1200444320760138,4.5066298979004875
342,0.1201806358221335,4.51718531635071
343,0.1202882799997154,4.544605413186189
344,0.1207935523405269,4.553937586040896
345,0.12095796108904558,4.5691194214015844
346,0.12130248452469869,4.583764167295105
347,0.1214086145279201,4.599599072952507
348,0.12143495806187135,4.603261150463054
349,0.12149570757661396,4.60398113924539
350,0.1216667522044592,4.619287718444609
351,0.12203106945353313,4.646679373267435
352,0.12225600256765573,4.650672554153064
353,0.12243099854377326,4.66054093054744
354,0.12269121261261223,4.663614116694353
355,0.1228911020371703,4.675634840299901
356,0.12311503208962872,4.693500678684546
357,0.12311520874743331,4.700526982247678
358,0.1238011622609831,4.7027126125495275
359,0.12476423885544825,4.70276411238951
360,0.12507286870791795,4.711015426936917
361,0.12559082669792054,4.711460405633777
362,0.12568665484024807,4.728352610894046
363,0.1257191978796173,4.757142465805125
364,0.12592687484264328,4.781063548524314
365,0.12597468588129926,4.813448941992598
366,0.12621474460618598,4.845301888123033
367,0.12647437021919797,4.8457518634663215
